id,intent,tone,conf
53051,SocialFragility,Sensationalist,0.6989283334280058
53189,Sovereignty,Factual,0.559455281751269
53190,MilitaryPresence,Alarmist,0.4044995330231061
53028,SocialFragility,Sensationalist,0.58380311325385
53029,SocialFragility,Sensationalist,0.6548664404558511
53030,SocialFragility,Sensationalist,0.34460944029718443
53031,SocialFragility,Alarmist,0.40046082916609954
53032,SocialFragility,Alarmist,0.46452872674487894
53033,SocialFragility,Alarmist,0.5046651379920889
53034,SocialFragility,Alarmist,0.4395441103531762
53035,SocialFragility,Sensationalist,0.5754073555803347
53036,SocialFragility,Sensationalist,0.4768776518093073
53037,SocialFragility,Sensationalist,0.48711151411698195
53038,Other,Sensationalist,0.5084630265428826
53050,SocialFragility,Sensationalist,0.4768776518093073
53039,SocialFragility,Sensationalist,0.4759971324340097
53049,SocialFragility,Sensationalist,0.4768776518093073
53048,SocialFragility,Sensationalist,0.4768776518093073
53047,SocialFragility,Sensationalist,0.4768776518093073
53046,SocialFragility,Factual,0.6167688618452107
53195,MilitaryPresence,Factual,0.9988489493854896
53082,SocialFragility,Sensationalist,0.484494241959038
53080,SocialFragility,Sensationalist,0.6989283334280058
53079,SocialFragility,Sensationalist,0.5431926095921213
53077,SocialFragility,Sensationalist,0.335307229878418
53076,SocialFragility,Sensationalist,0.6989283334280058
53237,Economic,Cynical,0.3425931938121357
53238,Economic,Cynical,0.4021870982594772
53239,MilitaryPresence,Cynical,0.4747305661766591
53465,SocialFragility,Factual,0.3453884720802307
53464,Economic,Factual,0.4647795259952545
53463,Economic,Alarmist,0.3579657971858978
53293,Economic,Alarmist,0.5027849689353147
53294,Economic,Alarmist,0.5027849689353147
53295,Economic,Alarmist,0.5027849689353147
53296,Economic,Alarmist,0.5027849689353147
53298,Other,neutral,0.0
53052,SocialFragility,Cynical,0.6097974613522602
53054,SocialFragility,Sensationalist,0.36173803303923513
53055,SocialFragility,Alarmist,0.4722473790154893
53056,SocialFragility,Sensationalist,0.4759291270531002
53057,SocialFragility,Sensationalist,0.375163014452194
53058,SocialFragility,Sensationalist,0.6783276894087668
53060,SocialFragility,Sensationalist,0.36173803303923513
53063,SocialFragility,Alarmist,0.4781504105877389
